New ID,Country Name,country,birth,code,region,lat,long
1,Aruba,,7.2,ABW,,,
2,Afghanistan,Afghanistan,18.54,AFG,Asia,33.0,65.0
3,Angola,Angola,22.776,AGO,Africa,-12.5,18.5
4,Albania,Albania,6.852,ALB,Europe,41.0,20.0
5,Andorra,Andorra,,AND,Europe,42.5,1.6
6,Arab World,,13.306129605815759,ARB,,,
7,United Arab Emirates,United Arab Emirates,6.992000000000001,ARE,Asia,24.0,54.0
8,Argentina,Argentina,9.172,ARG,America,-34.0,-64.0
9,Armenia,Armenia,6.4479999999999995,ARM,Europe,40.0,45.0
10,American Samoa,,,ASM,,,
11,Antigua and Barbuda,Antigua and Barbuda,8.204,ATG,America,17.05,-61.8
12,Australia,Australia,7.236000000000001,AUS,Oceania,-27.0,133.0
13,Austria,Austria,5.96,AUT,Europe,47.3333,13.3333
14,Azerbaijan,Azerbaijan,7.76,AZE,Europe,40.5,47.5
15,Burundi,,22.788,BDI,,,
16,Belgium,Belgium,6.8,BEL,Europe,50.8333,4.0
17,Benin,Benin,19.908,BEN,Africa,9.5,2.25
18,Burkina Faso,Burkina Faso,21.412,BFA,Africa,13.0,-2.0
19,Bangladesh,Bangladesh,8.416,BGD,Asia,24.0,90.0
20,Bulgaria,,6.12,BGR,,,
21,Bahrain,Bahrain,8.132,BHR,Asia,26.0,50.55
22,"Bahamas, The",The Bahamas,7.068,BHS,America,24.25,-76.0
23,Bosnia and Herzegovina,Bosnia and Herzegovina,5.44,BIH,Europe,44.0,18.0
24,Belarus,Belarus,6.932,BLR,Europe,53.0,28.0
25,Belize,Belize,10.04,BLZ,America,17.25,-88.75
26,Bermuda,Bermuda,6.44,BMU,America,32.303553,-64.762289
27,Bolivia,Bolivia,11.512,BOL,America,-17.0,-65.0
28,Brazil,Brazil,6.904,BRA,America,-10.0,-55.0
29,Barbados,Barbados,7.188,BRB,America,13.1667,-59.5333
30,Brunei Darussalam,Brunei,7.496,BRN,Asia,4.5,114.6667
31,Bhutan,Bhutan,8.204,BTN,Asia,27.5,90.5
32,Botswana,,10.92,BWA,,,
33,Central African Republic,Central African Republic,19.476,CAF,Africa,7.0,21.0
34,Canada,Canada,6.4,CAN,America,59.0,-114.0
35,Central Europe and the Baltics,,5.8146337942401205,CEB,,,
36,Switzerland,Switzerland,6.16,CHE,Europe,47.0,8.0
37,Channel Islands,,5.912000000000001,CHI,,,
38,Chile,Chile,7.096,CHL,America,-30.0,-71.0
39,China,China,6.496,CHN,Asia,35.0,105.0
40,Cote d'Ivoire,Ivory Coast,19.644000000000002,CIV,Africa,8.0,-5.0
41,Cameroon,Cameroon,18.832,CMR,Africa,6.0,12.0
42,"Congo, Dem. Rep.",Democratic Republic of the Congo,24.448,COD,Africa,0.0,25.0
43,"Congo, Rep.",Republic of the Congo,18.644000000000002,COG,Africa,-1.0,15.0
44,Colombia,Colombia,7.412000000000001,COL,America,4.0,-72.0
45,Comoros,Comoros,17.387999999999998,COM,Africa,-12.1667,44.25
46,Cabo Verde,Cape Verde,9.336,CPV,Africa,16.0,-24.0
47,Costa Rica,Costa Rica,7.132000000000001,CRI,America,10.0,-84.0
48,Caribbean small states,,8.13797901116324,CSS,,,
49,Cuba,Cuba,6.888,CUB,America,21.5,-80.0
50,Curacao,,6.8,CUW,,,
51,Cayman Islands,,,CYM,,,
52,Cyprus,Cyprus,5.372000000000001,CYP,Europe,35.0,33.0
53,Czech Republic,Czech Republic,6.28,CZE,Europe,49.75,15.5
54,Germany,Germany,6.0,DEU,Europe,51.0,9.0
55,Djibouti,Djibouti,11.388,DJI,Africa,11.5,43.0
56,Dominica,Dominica,,DMA,America,15.4167,-61.3333
57,Denmark,Denmark,6.84,DNK,Europe,56.0,10.0
58,Dominican Republic,Dominican Republic,9.687999999999999,DOM,America,19.0,-70.6667
59,Algeria,,11.104000000000001,DZA,,,
60,East Asia & Pacific (excluding high income),,7.39220066231416,EAP,,,
61,Early-demographic dividend,,10.14490563023748,EAR,,,
62,East Asia & Pacific,,7.21793047825756,EAS,,,
63,Europe & Central Asia (excluding high income),,7.742411489481761,ECA,,,
64,Europe & Central Asia,,7.000050238321919,ECS,,,
65,Ecuador,Ecuador,9.943999999999999,ECU,America,-2.0,-77.5
66,"Egypt, Arab Rep.",Egypt,13.06,EGY,Africa,27.0,30.0
67,Euro area,,6.20768840428224,EMU,,,
68,Eritrea,Eritrea,16.532,ERI,Africa,15.0,39.0
69,Spain,Spain,5.32,ESP,Europe,40.0,-4.0
70,Estonia,Estonia,6.32,EST,Europe,59.0,26.0
71,Ethiopia,Ethiopia,16.792,ETH,Africa,8.0,38.0
72,European Union,,6.285219075141,EUU,,,
73,Fragile and conflict affected situations,,17.796748240426602,FCS,,,
74,Finland,Finland,6.6,FIN,Europe,64.0,26.0
75,Fiji,Fiji,10.064,FJI,Oceania,-18.0,175.0
76,France,French Southern and Antarctic Lands,7.84,FRA,Europe,46.0,2.0
77,France,France,7.84,FRA,Europe,46.0,2.0
78,Faroe Islands,,10.4,FRO,,,
79,"Micronesia, Fed. Sts.",Micronesia (Federated States of),12.58,FSM,Oceania,6.9167,158.25
80,Gabon,Gabon,15.144,GAB,Africa,-1.0,11.75
81,United Kingdom,United Kingdom,7.2,GBR,Europe,54.0,-2.0
82,Georgia,Georgia,7.984,GEO,Europe,42.0,43.5
83,Ghana,Ghana,15.936,GHA,Africa,8.0,-2.0
84,Gibraltar,,,GIB,,,
85,Guinea,Guinea,19.42,GIN,Africa,11.0,-10.0
86,"Gambia, The",Gambia,21.7,GMB,Africa,13.4667,-16.5667
87,Guinea-Bissau,Guinea Bissau,18.532,GNB,Africa,12.0,-15.0
88,Equatorial Guinea,Equatorial Guinea,18.748,GNQ,Africa,2.0,10.0
89,Greece,Greece,5.32,GRC,Europe,39.0,22.0
90,Grenada,Grenada,8.416,GRD,America,12.1167,-61.6667
91,Greenland,Greenland,8.0,GRL,America,77.267914,-41.992332
